stim,audio,type,id,group,order
"Сегодня у мамы день рождения. Утром она увидела на тумбочке свой портрет, нарисованный гуашью. <...>",Нарисовал портрет Петя,normal,3_1,1,VOS
"Сегодня у мамы день рождения. Утром она увидела на тумбочке свой портрет, нарисованный гуашью. <...>",Петя нарисовал портрет,weird,3_1,2,SVO
"Пока Даня готовил ужин, кот Барсик сидел на шкафу в гостиной. Когда он спрыгнул, со шкафа что-то упало. <...>","Оказалось, упала коробка",normal,1_8,1,VS
"Пока Даня готовил ужин, кот Барсик сидел на шкафу в гостиной. Когда он спрыгнул, со шкафа что-то упало. <...>","Оказалось, коробка упала",focus fronting,1_8,2,SV
"В школе большая перемена. Пока нет учителя, в классе полный беспорядок. <...>",Дети бегают. ,d-linked,2_1,1,SV
"В школе большая перемена. Пока нет учителя, в классе полный беспорядок. <...>",Бегают дети.,d-linked,2_1,2,VS
"На перемене Коля сломал парту, но оказалось, что всё не так плохо. <...>",В итоге завхоз починил парту.,stress shift,2_14,1,SVO
"На перемене Коля сломал парту, но оказалось, что всё не так плохо. <...>",В итоге парту починил завхоз.,normal,2_14,2,OVS
У Лены на подоконнике наконец-то зацвели петунии. <...>,"Лена показала Вове, что цветы зацвели.",d-linked,1_2,1,SV
У Лены на подоконнике наконец-то зацвели петунии. <...>,"Лена показала Вове, что зацвели цветы.",d-linked,1_2,2,VS
"Галя и Витя приходят домой и видят, что разбит цветочный горшок. <br> — Как же так? — спрашивает Галя. <br> — <...>","Может, кашпо разбил Барсик?",OVS,1_11,1,OVS
"Галя и Витя приходят домой и видят, что разбит цветочный горшок. <br> — Как же так? — спрашивает Галя. <br> — <...>","Может, Барсик кашпо разбил?",OV,1_11,2,SOV
"Все ученики тихо сидят в классе, потому что боятся, что придет учитель. <...>",Бегает только Дима.,normal,2_4,1,VS
"Все ученики тихо сидят в классе, потому что боятся, что придет учитель. <...>",Только Дима бегает.,focus fronting,2_4,2,SV
"Учитель заходит в класс и видит, что все подозрительно тихо сидят.
<br> — Что случилось?
<br> — <...> ",Дима парту сломал!,OV,2_6,1,SOV
"Учитель заходит в класс и видит, что все подозрительно тихо сидят.
<br> — Что случилось?
<br> — <...> ",Дима сломал парту!,SVO,2_6,2,SVO
"Мама звонит сестре, чтобы рассказать о подарке, который она получила от сына. <br> — <...> <br> — Какой молодец! — отвечает сестра.",Петя нарисовал рисунок!,SVO,3_2,1,SVO
"Мама звонит сестре, чтобы рассказать о подарке, который она получила от сына. <br> — <...> <br> — Какой молодец! — отвечает сестра.",Петя рисунок нарисовал!,OV,3_2,2,SOV
"Пришла весна, и в парке все зазеленело и расцвело. <...>",Распустились нарциссы,new,1_1,1,VS
"Пришла весна, и в парке все зазеленело и расцвело. <...>",Нарциссы распустились,new,1_1,2,SV
Даша пришла домой и увидела на полу у подоконника какие-то осколки. <br> — <...> <br> — Давай я помогу убраться — говорит Вова.,"Вова, кашпо разбилось!",focus fronting,1_10,1,SV
Даша пришла домой и увидела на полу у подоконника какие-то осколки. <br> — <...> <br> — Давай я помогу убраться — говорит Вова.,"Вова, разбилось кашпо!",???,1_10,2,VS
"Пока хозяев не было дома, пёс Шарик носился по квартире. Вдруг он уронил с подоконника цветы. <...>","Весь пол в земле, разбилось кашпо",given,1_9,1,VS
"Пока хозяев не было дома, пёс Шарик носился по квартире. Вдруг он уронил с подоконника цветы. <...>","Весь пол в земле, кашпо разбилось",given,1_9,2,SV
"Мама заходит домой и видит, что дочка спешно убирает что-то с пола. <br> — Ой, что это упало? <br> — <...>",Упали нарциссы!,normal,1_13,1,VS
"Мама заходит домой и видит, что дочка спешно убирает что-то с пола. <br> — Ой, что это упало? <br> — <...>",Нарциссы упали!,focus fronting,1_13,2,SV
"В школе большая перемена. Завуч заходит в самый шумный класс.  <br> — Кто тут бегает, как угорелый? <br> — <...>",Мальчики бегают.,focus fronting,2_3,1,SV
"В школе большая перемена. Завуч заходит в самый шумный класс.  <br> — Кто тут бегает, как угорелый? <br> — <...>",Бегают мальчики.,normal,2_3,2,VS
"Студенты ходят по классу и рассматривают сочинения, которые их однокурсники подали на конкурс. Организатор Тимур рассказывает о работах. <br> — <...>",Рассказ Вася написал,OSV,4_1,1,OSV
"Студенты ходят по классу и рассматривают сочинения, которые их однокурсники подали на конкурс. Организатор Тимур рассказывает о работах. <br> — <...>",Вася рассказ написал,OV,4_1,2,SOV
"Ребята столпились в коридоре, чтобы обсудить результаты спортивных соревнований. <br> — <...> <br> — Её сегодня нет в школе, нужно ей рассказать! ",Золото Даша выиграла,OSV,4_4,1,OSV
"Ребята столпились в коридоре, чтобы обсудить результаты спортивных соревнований. <br> — <...> <br> — Её сегодня нет в школе, нужно ей рассказать! ",Даша золото выиграла,OV,4_4,2,SOV
"Лена рассуждает о результатах конкурса. <br> — Золото у Даши, серебро у Васи. Кто же третий? <br> — <...>",Даня бронзу получил,OV,4_6,1,SOV
"Лена рассуждает о результатах конкурса. <br> — Золото у Даши, серебро у Васи. Кто же третий? <br> — <...>",Даня получил бронзу,SVO,4_6,2,SVO
В соседней аудитории проходят горячие дебаты. <...>,Крики раздаются.,crazy,fun,1,shout
"Грузчики несли старый рояль по лестнице, боясь что-нибудь сломать. <...>",Вдруг хруст послышался,crazy,fun,2,crack
